Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Medium,RPM,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,Chlorophyll
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,100,2.00E+06,0.59970015
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,100,2.00E+06,0.623441397
1,0,2,2,2,1250,1250,1,3,0,4,0,72,5000,25,12,80,NA,2.6
1,0,2,2,2,2750,2750,1,3,0,6,0,72,5000,25,12,80,NA,5.2
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,500,20000,7.073954984
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,300,6.00E+05,7.505430433
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,150,6.00E+05,9.563278838
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,200,6.00E+05,10.53504059
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,80,NA,11.4
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,100,780000,12.07264957
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,250,6.00E+05,12.23848177
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,500,2500000,12.4852768
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,500,2500000,12.58823529
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,100,2500000,12.70588235
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,100,6.00E+05,14.37064136
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,100,2.00E+06,14.73354232
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,100,2500000,14.8409894
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,100,2500000,14.94117647
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,100,780000,15.05042669
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,50,2.00E+06,23.44139651
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,500,2500000,23.91304348
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,200,20000,24.22293676
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,100,2500000,24.3902439
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,500,2500000,24.3902439
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,100,2500000,26.35869565
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,100,2500000,26.55826558
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,28,24,10,5.00E+06,27.0631068
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,200,20000,28.26086957
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,27,24,1,5.00E+06,30.33980583
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,32.12851406
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,25,2.00E+06,35.28678304
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,100,20000,37.0846731
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,100,20000,37.08827404
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,10,2.00E+06,38.87147335
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,26,24,0.1,5.00E+06,45.50970874
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,46.38554217
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,100,1.00E+05,46.74099485
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,500,2500000,47.45762712
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,50,1.00E+05,48.19897084
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,70,1.00E+05,48.28473413
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,100,2500000,48.31460674
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,500,2500000,48.31460674
4,0,0,0,1,30,30,2.75,3,NA,6,0,96,3300,25,14,10,5.00E+05,48.37606838
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,30,1.00E+05,48.7135506
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,100,2500000,49.71751412
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,50,2500000,50
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,100,2500000,50.56179775
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,40,1600000,53.04659498
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,5,2.00E+06,53.44827586
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,200,20000,53.47222222
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,10,780000,54.27350427
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,5,2.00E+06,55.73566085
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,10,2.00E+06,56.37181409
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,30,1600000,57.04697987
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,10,780000,58.57253685
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,10,5.00E+05,59.05982906
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,300,1.00E+06,59.63855422
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,50,2.00E+06,60
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,10,780000,61.01426307
8,0,3,1,3,1250,15,15,3,130,4,0,144,2224,25,24,15,NA,61.14285714
5,0,0,0,1,4,4,4,5,0,4,0,96,5000,25,12,70,NA,61.23076923
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,30,1600000,61.29032258
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,25,2.00E+06,62.0754717
4,0,3,1,3,224,16.8,16.8,1,60,4,0,24,1212.5,28,24,100,2.00E+06,62.16981132
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,50,334095.0099,62.25849061
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,10,780000,62.26415094
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,50,6.00E+05,62.42140162
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,50,1600000,62.59259259
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,10,1.00E+05,62.95025729
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,50,334095.0099,64.67469366
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,50,2500000,64.94565217
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,10,2500000,65.04065041
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,50,2500000,65.04065041
5,0,2,2,2,NA,NA,NA,3,0,3,0,96,NA,24,24,1,50000,67.23259762
4,0,2,2,2,1140,1140,NA,1,60,6,0,96,1212.5,28,24,5,2.00E+06,68.06596702
5,0,0,2,2,25,25,4,3,0,4,0,96,NA,26,14,10,3.00E+05,68.21963394
1,0,0,0,1,10,10,10,2,NA,4,0,72,4000,25,12,50,20000,68.27438371
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,10,2500000,68.53932584
4,0,3,1,3,50000,30,30,3,0,4,0,360,2000,25,12,50,334095.0099,68.724943
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,50,2500000,68.92655367
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,50,2500000,69.1011236
4,0,3,1,3,50000,30,30,3,0,4,0,360,2000,25,12,20,334095.0099,70.71976832
8,0,3,1,3,1250,15,15,3,130,4,0,72,2224,25,24,15,NA,71.42857143
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,10,2500000,71.4673913
1,0,2,2,2,1250,1250,1,3,0,4,0,72,5000,25,12,5,NA,71.5
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,5,2500000,71.54471545
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,10,2500000,71.54471545
8,0,3,1,3,1250,15,15,3,130,4,0,216,2224,25,24,15,NA,71.56862745
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,20,334095.0099,71.568818
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,20,1600000,72.22222222
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,10,2500000,72.31638418
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,5,2500000,72.47191011
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,10,2500000,72.47191011
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,1,50000,72.6655348
1,0,0,0,1,10,10,10,2,NA,4,0,96,4000,25,12,50,20000,73.25428195
1,0,0,0,1,10,10,10,2,NA,4,0,48,4000,25,12,100,20000,73.26388889
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,10,2500000,73.49823322
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,5,2500000,73.52941176
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,10,2500000,73.64705882
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,20,334095.0099,74.59249166
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,1,2.00E+06,74.76489028
4,0,0,0,1,30,30,2.75,3,NA,6,0,96,3300,25,14,1,5.00E+05,74.78632479
3,0,3,1,3,12500,15,15,3,NA,4,0,72,NA,25,14,1,780000,75
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,50,NA,75.24875622
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,50,2500000,75.26501767
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,10,2500000,75.29411765
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,50,2500000,75.29411765
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,50,334095.0099,75.29435399
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,96,NA,20,12,50,1600000,76.10921502
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,10,64800,76.2755102
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,10,6.00E+05,76.3175946
4,0,3,1,3,50000,30,30,3,0,4,0,288,2000,25,12,10,334095.0099,76.63497119
5,0,2,2,2,NA,NA,NA,3,0,3,0,96,NA,24,24,0.1,50000,77.41935484
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,50,1.00E+06,77.51004016
11,0,5,0,1,NA,NA,NA,7,125,8,0,216,4448,NA,NA,50,NA,77.9923
5,0,0,0,1,35,35,5,3,NA,6,0,96,NA,24,24,10,65000,78.2
4,0,3,1,3,50000,30,30,3,0,4,0,216,2000,25,12,10,334095.0099,78.49501687
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,20,NA,78.60696517
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.1,50000,78.60780985
5,0,0,2,2,25,25,4,3,0,4,0,96,NA,26,14,1,3.00E+05,79.53410982
5,0,0,2,2,25,25,4,3,0,4,0,96,NA,26,14,0.1,3.00E+05,80.19966722
1,0,2,2,2,1250,1250,1,3,0,5,0,72,5000,25,12,20,NA,80.2
5,0,2,2,2,NA,NA,NA,3,0,3,0,96,NA,24,24,0.01,50000,80.475382
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,10,898466257.7,80.48780488
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,10,1600000,80.53691275
1,0,2,2,2,2750,2750,1,3,0,6,1,72,5000,25,12,20,NA,80.6
1,0,2,2,2,2600,2600,0.55,0,0,0,0,72,1668,25,16,20,6.00E+05,80.90202355
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,1,780000,80.98256735
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,0.5,2.00E+06,81.03448276
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,15,NA,81.09452736
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,1,780000,81.2257564
4,0,3,1,3,50000,30,30,3,0,4,0,72,2000,25,12,50,334095.0099,81.64130161
5,0,1,3,0,208.295,208.295,208.295,3,150,4,0,72,5560,25,14,50,1.00E+06,81.72690763
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,5,898466257.7,82.07416221
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,1,50000,82.85229202
2,0,0,0,1,NA,NA,NA,3,0,1,0,96,4000,25,12,5,2500000,82.88043478
2,0,0,0,1,NA,NA,NA,3,0,2,0,96,4000,25,12,1,2500000,82.92682927
2,0,0,0,1,NA,NA,NA,3,0,4,0,96,4000,25,12,5,2500000,82.92682927
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,2,898466257.7,83.10529447
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,72,NA,20,12,50,1600000,83.5125448
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,1,898466257.7,83.89847313
2,0,0,0,1,NA,NA,NA,3,0,1,0,144,4000,25,12,5,2500000,84.09893993
2,0,0,0,1,NA,NA,NA,3,0,2,0,144,4000,25,12,1,2500000,84.11764706
2,0,0,0,1,NA,NA,NA,3,0,4,0,144,4000,25,12,5,2500000,84.11764706
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,10,NA,84.45273632
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,40,1600000,84.56375839
8,0,3,1,3,1250,15,15,3,130,4,0,648,2224,25,24,15,NA,84.77564103
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,1,5.00E+05,84.78632479
5,0,0,0,1,35,35,5,3,NA,6,0,96,NA,24,24,0.01,65000,85.1
5,0,0,0,1,35,35,5,3,NA,6,0,96,NA,24,24,0.1,65000,85.1
5,0,0,0,1,35,35,5,3,NA,6,0,96,NA,24,24,1,65000,85.3
4,0,3,1,3,50000,30,30,3,0,4,0,360,2000,25,12,10,334095.0099,85.32766792
4,0,3,1,3,17500,1.5,1.5,3,0,4,0,96,2250,25,12,0.1,2.00E+06,85.34482759
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,20,334095.0099,85.41191462
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,30,1600000,85.55555556
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,48,NA,20,12,40,1600000,85.55555556
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.01,50000,85.90831919
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,1,50000,86.24787776
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,0.5,898466257.7,86.99186992
2,0,0,0,1,NA,NA,NA,3,0,2,0,48,4000,25,12,1,2500000,87.07865169
2,0,0,0,1,NA,NA,NA,3,0,1,0,48,4000,25,12,5,2500000,87.57062147
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,10,898466257.7,87.59422787
2,0,0,0,1,NA,NA,NA,3,0,4,0,48,4000,25,12,5,2500000,87.64044944
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.01,50000,87.94567063
8,0,3,1,3,1250,15,15,3,130,4,0,288,2224,25,24,15,NA,88.43283582
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.1,50000,88.62478778
5,0,2,2,2,300,300,0.9,3,0,6,0,144,3000,25,24,0.01,5.00E+06,88.71359223
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,5,898466257.7,88.8003446
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,2,898466257.7,89.57570536
4,0,3,1,3,224,16.8,16.8,1,60,4,0,96,1212.5,28,24,1,2.00E+06,89.7755611
1,0,2,2,2,2750,2750,1,3,0,6,0,72,5000,25,12,10,NA,90.3
4,0,3,1,3,50000,30,30,3,0,4,0,72,2000,25,12,20,334095.0099,90.44752349
4,0,0,0,1,30,30,2.75,3,NA,6,0,96,3300,25,14,0.1,5.00E+05,90.51282051
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,1,898466257.7,90.52336851
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,10,898466257.7,90.54738365
4,0,2,2,2,NA,NA,NA,3,NA,6,0,96,NA,25,12,5,NA,90.67164179
5,0,2,2,2,3000,3000,0.9,3,NA,6,0,96,NA,24,24,0.1,65000,91.1
5,0,2,2,2,3000,3000,0.9,3,NA,6,0,96,NA,24,24,1,65000,91.1
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,1,64800,91.14085405
3,0,3,1,3,12500,15,15,3,NA,4,0,96,NA,25,14,0.1,780000,91.31109387
5,0,2,2,2,3000,3000,0.9,3,NA,6,0,96,NA,24,24,0.01,65000,91.6
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,0.01,64800,91.84193754
5,0,2,2,2,2750,2750,1,3,NA,6,0,96,NA,24,24,0.1,64800,91.84193754
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,0.1,780000,91.91759113
6,1,2,2,2,3000,3000,1,5,0,6,0,96,6000,23,14,0.2,898466257.7,92.06821337
6,1,2,2,2,3000,3000,1,5,0,6,0,72,6000,23,14,0.1,898466257.7,92.07409003
0,0,3,1,3,NA,NA,NA,4,0,4,0,96,4000,20,12,5,1.00E+05,92.2813036
6,1,2,2,2,3000,3000,1,5,0,6,0,24,6000,23,14,10,898466257.7,92.30566535
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0.001,550000,92.33506364
4,0,2,2,2,700,700,1.75,3,NA,6,0,96,3300,25,14,0.1,5.00E+05,92.47863248
5,0,3,1,3,1750,1.5,1.5,3,NA,5,0,96,NA,24,24,1,64800,92.53826531
8,0,2,2,2,1750,1750,0.885,3,130,6,0,144,2224,25,24,15,NA,92.57142857
4,0,3,1,3,50000,30,30,3,0,4,0,144,2000,25,12,10,334095.0099,92.60762425
3,0,3,1,3,12500,15,15,3,NA,4,0,24,NA,25,14,0.01,780000,92.70998415
5,0,2,2,2,2750,2750,1,3,0,6,2,96,NA,25,16,0.01,550000,92.74635569
6,1,2,2,2,3000,3000,1,5,0,6,0,48,6000,23,14,0.1,898466257.7,92.76585483
7,0,3,1,3,1250,11.5,11.5,4,0,4,0,24,NA,20,12,20,1600000,92.95302013
5,0,2,2,2,NA,NA,NA,3,0,3,1,96,NA,24,24,0.01,50000,93.03904924
3,0,3,1,3,12500,15,15,3,NA,4,0,48,NA,25,14,1,780000,93.66576819
